UNITID,LPBOOKSP,LPMEDIAP,LPSERIAP,LEBOOKSP,LEDATABP,LEMEDIAP,LESERIAP,LSALWAGP,LFRNGBNP,LEXMSBBP,LEXMSCSP,LEXMSOTP,LEXOMTLP,LEXPTOTF,LTOTLFTE,LLIBRFTE,LPROFFTE,LPAIDFTE,LSTUDFTE
218955,5,0,0,95,0,0,0,56,25,1,7,9,2,652,4.00,1.00,2.00,0.00,1.00
218964,23,0,0,57,0,12,8,44,17,5,28,2,5,567,29.75,11.00,13.00,1.87,3.88
218973,8,0,0,73,0,8,10,49,0,7,36,5,3,859,16.50,8.00,0.00,5.50,3.00
218991,1,0,0,83,0,16,0,49,8,26,12,2,2,129,3.50,1.50,2.00,0.00,0.00
219000,23,2,10,48,0,7,10,43,15,1,28,1,12,655,15.70,6.00,0.00,5.00,4.70
219046,21,2,0,55,0,10,11,52,16,0,29,2,0,250,7.00,4.00,2.00,0.00,1.00
219082,5,1,0,70,0,0,25,46,0,1,53,0,0,283,9.00,2.00,1.00,2.00,4.00
219091,13,1,0,51,0,11,23,50,11,1,31,0,8,332,17.00,2.00,1.00,0.00,14.00
219143,6,0,0,94,0,0,0,37,7,4,12,2,37,124,1.50,1.00,0.00,0.50,0.00
219189,0,0,0,0,100,0,0,,,,,,,,,,,,
219198,73,9,0,18,0,0,0,62,13,2,16,0,7,230,4.75,1.00,2.00,0.00,1.75
219204,0,0,0,21,0,23,56,29,6,0,54,0,11,197,0.99,0.99,0.00,0.00,0.00
219240,55,0,9,32,0,0,3,0,0,0,62,0,38,430,,,,,
219259,33,2,0,61,0,4,0,46,13,3,27,3,9,432,6.00,4.00,2.00,0.00,0.00
219277,98,2,0,0,0,0,0,63,19,0,8,4,6,500,5.00,1.00,1.00,3.00,0.00
219295,3,0,0,89,0,0,8,57,15,1,24,0,3,386,7.00,2.00,0.00,1.00,4.00
219347,11,1,0,74,0,10,4,38,11,0,42,7,2,417,12.00,2.00,1.00,3.00,6.00
219356,54,8,3,21,0,1,12,42,11,3,36,1,8,425,31.33,12.90,3.00,10.66,4.77
219374,97,2,0,0,0,0,0,59,27,0,4,4,6,562,5.00,1.00,0.00,4.00,0.00
219383,11,0,0,56,0,8,24,23,6,29,34,1,7,170,21.00,1.00,0.00,0.00,20.00
219408,92,8,0,0,0,0,0,,,,,,,,0.80,0.40,0.00,0.40,0.00
219426,23,1,0,66,1,9,0,,,,,,,,0.75,0.25,0.50,0.00,0.00
219471,46,4,0,31,0,8,10,38,10,3,35,6,8,574,31.51,10.70,9.40,6.55,4.86
219480,1,0,0,93,0,0,6,,,,,,,,1.44,1.00,0.00,0.00,0.44
219505,100,0,0,0,0,0,0,,,,,,,,2.00,1.00,0.00,0.00,1.00
219602,25,1,7,58,0,0,9,54,21,1,22,0,3,440,29.70,12.00,0.00,14.00,3.70
219639,1,0,0,4,0,2,93,26,6,0,68,0,0,488,4.52,2.00,0.00,1.00,1.52
219709,1,0,0,2,0,97,1,40,0,4,49,1,7,317,25.00,8.00,8.00,0.00,9.00
219718,3,0,0,75,0,6,16,35,0,2,54,5,3,170,11.00,3.50,0.00,3.50,4.00
219790,8,0,0,60,0,21,11,63,0,0,26,0,10,236,5.92,3.00,0.00,1.00,1.92
219806,12,1,0,72,0,10,5,53,0,1,40,1,6,260,12.75,5.00,0.00,3.50,4.25
219824,6,0,0,67,0,17,10,73,0,5,15,0,8,239,22.66,9.00,0.00,3.66,10.00
219833,13,0,0,67,0,19,0,54,0,1,43,0,1,270,15.00,5.00,2.00,0.00,8.00
219842,34,0,0,66,0,0,0,56,5,1,22,4,13,1009,3.55,0.95,0.24,1.31,1.05
219879,13,0,0,78,0,0,9,64,25,0,7,0,4,169,5.50,3.00,1.00,1.00,0.50
219888,4,0,0,80,0,15,1,47,19,6,27,1,0,126,4.00,2.00,0.00,2.00,0.00
219903,98,0,1,0,0,0,0,,,,,,,,1.00,0.00,1.00,0.00,0.00
219949,1,0,0,14,0,78,7,39,8,4,40,1,8,161,5.49,3.00,1.00,0.00,1.49
219976,20,1,0,54,0,13,12,26,8,2,16,1,47,428,13.00,5.00,0.00,4.00,4.00
220002,0,0,0,100,0,0,0,,,,,,,,1.00,0.00,1.00,0.00,0.00
220057,31,3,0,65,0,1,0,73,16,0,6,2,3,259,8.71,2.21,0.00,2.77,3.73
220075,37,5,1,39,0,12,6,34,10,3,40,4,9,534,60.93,20.34,11.00,18.23,11.36
220118,100,0,0,0,0,0,0,,,,,,,,1.00,1.00,0.00,0.00,0.00
220181,5,0,0,79,0,0,16,48,14,1,18,0,19,473,6.00,3.00,0.00,3.00,0.00
220206,58,0,0,42,0,0,0,,,,,,,,2.96,0.75,0.25,0.00,1.96
220215,15,1,0,77,0,6,0,61,0,6,23,10,0,279,11.00,3.00,4.00,1.00,3.00
220400,7,0,0,51,0,35,7,40,24,5,12,16,4,166,6.00,3.00,0.00,2.00,1.00
220464,96,3,1,0,0,0,0,,,,,,,,1.00,1.00,0.00,0.00,0.00
220473,13,1,0,76,0,0,9,46,0,10,35,1,9,691,8.61,2.30,0.00,2.50,3.81
220516,20,5,0,55,0,11,8,58,0,2,32,1,8,333,8.09,4.25,0.00,2.50,1.34
220552,1,0,0,50,0,29,20,29,4,5,62,0,0,130,27.00,6.00,2.00,1.00,18.00
220598,25,1,0,63,0,0,11,56,5,7,28,2,1,264,4.00,3.00,1.00,0.00,0.00
220604,21,0,0,52,0,0,26,55,9,27,6,2,0,885,10.00,3.00,3.00,0.00,4.00
220613,34,0,0,66,0,0,0,56,5,1,22,4,13,292,15.14,4.05,1.01,5.59,4.49
220631,3,0,0,86,0,4,6,35,5,15,36,0,8,565,28.28,16.48,0.00,3.40,8.40
220701,29,1,0,56,0,0,14,59,0,41,0,0,0,448,6.10,2.00,0.00,3.10,1.00
220710,11,0,0,52,0,27,10,58,0,3,28,0,11,495,6.83,3.30,0.00,2.93,0.60
220792,81,0,0,10,1,0,8,20,5,3,50,13,9,1851,20.00,3.00,1.00,1.00,15.00
220862,44,18,1,25,0,0,12,46,0,5,42,0,6,541,109.50,22.00,57.00,18.00,12.50
220871,5,0,0,95,0,0,0,37,13,5,25,2,18,1593,2.00,1.00,1.00,0.00,0.00
220978,30,1,0,60,0,7,2,47,0,9,41,0,4,475,211.00,24.00,41.00,7.00,139.00
220996,0,0,0,67,5,0,28,42,0,1,55,0,1,609,1.00,0.00,1.00,0.00,0.00
221096,4,0,0,51,0,42,3,65,21,3,6,0,5,199,13.50,3.00,0.00,6.50,4.00
221148,0,0,0,72,0,25,2,,,,,,,,1.00,0.00,1.00,0.00,0.00
221184,16,1,0,83,0,0,0,60,23,2,15,0,0,165,8.00,3.00,1.00,3.00,1.00
221351,24,2,0,61,0,0,13,41,0,2,47,10,0,713,40.00,8.00,0.00,2.00,30.00
221397,6,0,0,73,0,13,7,52,19,2,21,3,2,218,7.34,4.00,0.00,2.15,1.19
221485,7,1,0,54,0,21,17,48,18,7,25,1,1,225,17.00,6.00,3.00,8.00,0.00
221519,37,8,0,35,0,19,2,38,13,9,29,3,8,1714,22.50,8.50,3.50,8.50,2.00
221643,8,0,0,63,0,22,8,48,17,4,12,15,4,245,38.80,10.00,1.00,11.00,16.80
221661,30,1,0,18,0,50,0,30,15,11,35,6,3,629,58.00,7.00,2.00,1.00,48.00
221670,17,1,1,16,0,0,65,52,0,3,35,0,11,863,5.50,2.00,1.00,0.00,2.50
221731,8,0,0,49,0,35,7,60,0,2,28,1,8,329,19.50,3.00,3.50,0.00,13.00
221740,22,4,0,50,0,17,7,52,0,12,27,4,5,462,52.10,25.00,0.00,18.80,8.30
221759,37,9,1,45,0,4,4,35,13,5,36,2,9,1077,214.00,75.00,38.00,77.00,24.00
221768,36,1,4,36,0,16,7,48,0,4,41,1,6,392,28.00,8.00,2.00,14.00,4.00
221838,26,1,0,44,0,9,20,43,15,14,24,0,4,580,50.00,16.00,18.00,2.00,14.00
221847,20,1,0,41,0,28,10,47,18,2,23,1,9,296,29.44,8.50,1.00,11.00,8.94
221892,16,1,0,60,0,8,16,46,10,2,35,1,6,372,14.17,5.37,3.00,0.00,5.80
221908,7,1,0,75,0,12,4,69,0,9,13,1,8,183,10.13,5.00,0.00,4.60,0.53
221953,6,0,0,87,0,1,5,43,2,1,41,12,0,267,7.50,2.00,2.00,0.00,3.50
221971,19,1,0,44,0,27,8,39,12,3,37,1,7,500,27.15,6.00,0.00,8.25,12.90
221999,33,3,1,52,0,5,7,25,6,10,34,0,25,3144,170.00,70.00,20.00,70.00,10.00
