UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
176336,11,28,39,27,0,0,27,5,19,,,,,,,5
176354,504,809,62,486,0,0,486,280,58,6,0,0,6,2,33,20
176372,1561,3053,51,1641,0,0,1641,1148,70,34,0,0,34,14,41,16
176406,98,180,54,141,0,0,141,84,60,,,,,,,9
176433,,,,2,0,0,2,2,100,0,0,0,0,0,,20
176451,1,20,5,0,0,0,0,0,,0,0,0,0,0,,26
176479,152,1822,8,151,0,0,151,132,87,2,0,0,2,1,50,13
176628,217,340,64,151,0,0,151,99,66,,,,,,,10
176664,43,87,49,42,0,0,42,22,52,0,0,0,0,0,,11
176716,,,,3,0,0,3,3,100,,,,,,,25
176770,,,,2,0,0,2,1,50,4,0,0,4,1,25,9
176789,35,96,36,16,0,0,16,13,81,1,0,0,1,1,100,10
176798,,,,24,0,0,24,21,88,37,0,0,37,32,86,12
176910,17,36,47,24,0,0,24,9,38,3,0,0,3,2,67,8
176947,339,427,79,343,3,0,340,202,59,3,0,0,3,1,33,13
176965,1124,2498,45,1063,1,0,1062,757,71,21,0,0,21,6,29,17
176983,,,,29,0,0,29,29,100,8,0,0,8,8,100,3
177038,4,26,15,2,0,0,2,1,50,2,0,0,2,1,50,8
177065,277,1443,19,207,0,0,207,135,65,109,0,0,109,33,30,20
177083,3,6,50,3,0,0,3,2,67,,,,,,,2
177117,129,140,92,95,0,0,95,50,53,0,0,0,0,0,,7
177135,698,1146,61,793,1,0,792,512,65,133,0,0,133,45,34,13
177144,242,328,74,254,0,0,254,162,64,1,0,0,1,1,100,14
177214,320,396,81,324,0,0,324,246,76,0,0,0,0,0,,12
177250,573,1301,44,542,0,0,542,315,58,105,1,0,104,45,43,14
177302,,,,155,0,0,155,93,60,,,,,,,20
177339,337,485,69,342,0,0,342,252,74,16,0,0,16,8,50,15
177418,113,164,69,170,0,0,170,120,71,4,0,0,4,0,0,10
177436,,,,4,0,0,4,4,100,,,,,,,12
177472,1822,4431,41,1911,0,0,1911,1191,62,545,0,0,545,216,40,17
177542,123,274,45,88,0,0,88,62,70,3,0,0,3,1,33,10
177551,203,286,71,178,0,0,178,120,67,13,0,0,13,2,15,8
177588,,,,1,0,0,1,1,100,,,,,,,25
177603,,,,25,0,0,25,1,4,0,0,0,0,0,,10
177676,756,1083,70,688,2,0,686,379,55,148,0,0,148,46,31,17
177685,,,,8,0,0,8,5,63,,,,,,,18
177719,,,,,,,,,,,,,,,,10
177746,206,257,80,184,0,0,184,137,74,1,0,0,1,1,100,9
177870,,,,8,0,0,8,8,100,,,,,,,10
177931,,,,9,0,0,9,7,78,,,,,,,3
177940,293,596,49,341,0,0,341,169,50,4,0,0,4,4,100,13
177968,719,1219,59,672,0,0,672,522,78,8,0,0,8,1,13,13
177977,972,1088,89,817,26,0,791,707,89,55,10,0,45,36,80,16
177986,12,150,8,14,0,0,14,7,50,4,0,0,4,0,0,12
177995,2166,5611,39,2051,1,0,2050,1208,59,809,1,0,808,329,41,14
178004,,,,1,0,0,1,0,0,,,,,,,2
178059,610,1609,38,720,3,0,717,585,82,0,0,0,0,0,,13
178077,,,,12,0,0,12,11,92,0,0,0,0,0,,17
178183,,,,89,0,0,89,66,74,,,,,,,9
178208,82,380,22,40,0,0,40,31,78,18,0,0,18,6,33,18
178217,495,628,79,504,1,0,503,312,62,63,0,0,63,24,38,22
178244,235,2659,9,241,0,0,241,175,73,1,0,0,1,0,0,20
178341,531,1417,37,581,0,0,581,341,59,70,0,0,70,20,29,15
178369,547,925,59,396,2,0,394,186,47,12,0,0,12,3,25,15
178387,538,1657,32,616,0,0,616,371,60,49,0,0,49,15,31,17
178396,4781,6212,77,5255,2,0,5253,4644,88,60,0,0,60,38,63,18
178402,1118,2147,52,1027,0,0,1027,741,72,32,0,0,32,12,38,14
178411,1180,1422,83,1099,2,0,1097,933,85,12,0,0,12,5,42,19
178420,271,1468,18,398,0,0,398,290,73,19,0,0,19,7,37,14
178448,855,2017,42,920,0,0,920,596,65,292,0,0,292,132,45,23
178527,,,,13,0,0,13,10,77,13,0,0,13,10,77,12
178615,660,1271,52,716,1,0,715,603,84,11,0,0,11,5,45,13
178624,949,1671,57,1215,0,0,1215,918,76,6,0,0,6,2,33,19
178679,114,157,73,120,0,0,120,91,76,6,0,0,6,4,67,13
178697,292,333,88,304,0,0,304,238,78,0,0,0,0,0,,15
178721,254,1147,22,201,0,0,201,115,57,147,1,0,146,53,36,14
178767,3,12,25,0,0,0,0,0,,0,0,0,0,0,,6
178828,,,,11,0,0,11,8,73,,,,,,,2
178891,501,838,60,1,0,0,1,0,0,0,0,0,0,0,,12
178989,,,,,,,,,,,,,,,,6
179043,406,902,45,431,0,0,431,332,77,0,0,0,0,0,,13
179052,,,,24,0,0,24,18,75,,,,,,,5
179159,1789,3176,56,1540,1,0,1539,1367,89,2,0,0,2,1,50,9
179195,,,,3,0,0,3,3,100,,,,,,,17
179229,,,,5,0,0,5,3,60,,,,,,,5
179256,1,15,7,5,0,0,5,4,80,1,0,0,1,0,0,5
179265,77,91,85,94,0,0,94,78,83,0,0,0,0,0,,7
179308,1652,3669,45,1730,1,0,1729,1018,59,780,0,0,780,303,39,22
179326,278,610,46,338,0,0,338,228,67,18,0,0,18,8,44,11
179344,267,1090,24,272,0,0,272,159,58,59,0,0,59,14,24,13
179511,,,,23,0,0,23,13,57,6,0,0,6,4,67,20
179539,785,1823,43,754,0,0,754,455,60,128,0,0,128,37,29,17
179548,99,143,69,75,0,0,75,47,63,,,,,,,8
179557,1420,2868,50,1429,0,0,1429,1056,74,56,0,0,56,21,38,20
179566,2416,7436,32,2480,0,0,2480,1865,75,167,0,0,167,121,72,19
179645,483,1201,40,534,1,0,533,297,56,155,0,0,155,49,32,20
