UNITID,GRCHRTYR,GRTOTLT,GRGNDRUN,GRGNDRAN,GRGNDRUA,GRGNDRKN
155399,1,3532,0,0,0,3532
155414,1,161,0,,0,161
155496,1,60,0,,0,60
155511,1,194,0,,0,194
155520,1,179,0,,0,179
155627,1,186,0,0,0,186
155681,1,1006,0,,0,1006
155812,1,122,0,,0,122
155900,1,182,0,0,0,182
155937,1,128,0,,0,128
155973,1,136,0,,0,136
156082,1,849,0,0,0,849
156125,1,1446,0,,0,1446
156189,1,168,0,,0,168
156213,1,308,0,,0,308
156286,1,633,0,3,3,630
156295,1,418,0,0,0,418
156356,1,123,0,0,0,123
156365,1,553,0,,0,553
156408,1,400,0,,0,400
156417,1,4,0,,0,4
156471,1,255,0,,0,255
156541,1,409,0,,0,409
156620,1,2562,0,,0,2562
156745,1,297,0,0,0,297
157021,1,11,1,,1,10
157030,1,16,0,,0,16
157058,1,192,0,,0,192
157076,1,194,0,,0,194
157085,1,5051,0,,0,5051
157100,1,153,0,,0,153
157216,1,484,0,,0,484
157289,1,2744,0,0,0,2744
157377,1,129,0,,0,129
157386,1,1336,0,,0,1336
157401,1,1497,0,0,0,1497
157447,1,2106,0,,0,2106
157535,1,328,0,,0,328
157748,1,141,0,,0,141
157757,1,151,0,,0,151
157793,1,234,0,,0,234
157809,1,413,0,,0,413
157818,1,242,0,,0,242
157863,1,263,0,,0,263
157951,1,3131,1,,1,3130
158477,1,130,0,,0,130
158802,1,356,0,,0,356
159009,1,846,0,,0,846
159382,1,483,0,,0,483
159391,1,5470,0,,0,5470
159416,1,252,0,,0,252
159568,1,248,0,,0,248
159647,1,2013,0,,0,2013
159656,1,611,0,,0,611
159717,1,1194,0,,0,1194
159939,1,850,0,0,0,850
159948,1,53,24,0,24,29
159966,1,1076,0,0,0,1076
159993,1,1343,0,,0,1343
160038,1,1306,0,0,0,1306
160065,1,74,5,,5,69
160074,1,63,3,,3,60
160409,1,28,0,,0,28
160612,1,2011,0,,0,2011
160621,1,1051,0,,0,1051
160630,1,135,0,,0,135
160658,1,3015,0,,0,3015
160755,1,1856,0,,0,1856
160904,1,760,0,,0,760
160959,1,79,0,,0,79
160977,1,498,0,,0,498
160995,1,151,0,,0,151
161004,1,503,0,,0,503
161022,1,6,0,,0,6
161086,1,510,0,0,0,510
161217,1,176,0,,0,176
161226,1,435,1,,1,434
161235,1,164,0,,0,164
161253,1,2310,0,,0,2310
161299,1,245,0,,0,245
161341,1,165,0,,0,165
161457,1,719,0,,0,719
161509,1,120,2,15,17,103
161518,1,266,0,,0,266
161554,1,767,0,,0,767
161563,1,273,0,,0,273
161572,1,209,0,0,0,209
161873,1,138,8,,8,130
162007,1,958,0,,0,958
162061,1,94,0,,0,94
162210,1,78,0,0,0,78
162283,1,383,0,0,0,383
162584,1,829,0,0,0,829
162654,1,439,0,,0,439
162760,1,219,0,,0,219
162928,1,1366,0,,0,1366
163046,1,1093,0,,0,1093
163204,1,286,1,0,1,285
163268,1,1518,0,0,0,1518
163286,1,4564,0,,0,4564
163295,1,351,0,0,0,351
163338,1,698,0,7,7,691
163453,1,1123,0,0,0,1123
163462,1,417,0,,0,417
163532,1,35,0,,0,35
163578,1,93,0,,0,93
163851,1,1328,0,,0,1328
163912,1,334,0,,0,334
163976,1,127,0,1,1,126
164076,1,2750,0,,0,2750
164155,1,1152,0,,0,1152
164173,1,783,0,0,0,783
164216,1,410,0,,0,410
164270,1,388,1,,1,387
164368,1,174,0,0,0,174
164447,1,320,0,,0,320
164465,1,471,0,0,0,471
164492,1,218,0,,0,218
164562,1,577,0,,0,577
164580,1,588,0,,0,588
164614,1,8,0,,0,8
164632,1,153,0,0,0,153
164641,1,84,0,0,0,84
164739,1,1041,0,0,0,1041
164748,1,1230,0,3,3,1227
164872,1,22,0,,0,22
164924,1,2318,0,,0,2318
164988,1,3549,0,,0,3549
165015,1,841,0,,0,841
165024,1,1381,0,,0,1381
165167,1,4,0,0,0,4
165264,1,1,0,0,0,1
165334,1,542,1,,1,541
165529,1,676,0,,0,676
165574,1,436,0,,0,436
165644,1,166,0,,0,166
165662,1,881,0,,0,881
165671,1,596,0,,0,596
165699,1,712,0,,0,712
165802,1,228,0,0,0,228
165820,1,759,0,,0,759
165866,1,738,0,,0,738
165884,1,201,0,,0,201
165936,1,422,0,,0,422
166018,1,320,0,,0,320
166027,1,1659,0,0,0,1659
166054,1,15,0,,0,15
166124,1,765,0,,0,765
166391,1,437,0,,0,437
166452,1,370,0,,0,370
166489,1,11,0,0,0,11
166513,1,1677,0,,0,1677
166629,1,4673,0,,0,4673
166638,1,1543,0,0,0,1543
166656,1,794,0,,0,794
166674,1,374,4,,4,370
166683,1,1110,0,,0,1110
166692,1,402,0,0,0,402
166850,1,1004,0,,0,1004
166911,1,91,0,0,0,91
166939,1,569,0,0,0,569
167057,1,121,0,,0,121
167260,1,349,0,0,0,349
167288,1,325,0,0,0,325
167358,1,2676,0,0,0,2676
167394,1,163,0,,0,163
167525,1,459,0,0,0,459
167598,1,233,0,,0,233
167729,1,1130,0,0,0,1130
167783,1,454,0,,0,454
167792,1,145,0,0,0,145
167835,1,654,0,,0,654
167899,1,541,0,,0,541
167987,1,1353,1,1,2,1351
167996,1,732,0,,0,732
168005,1,1184,0,0,0,1184
168148,1,1336,0,1,1,1335
168218,1,591,0,,0,591
168227,1,960,0,0,0,960
168254,1,722,0,,0,722
168263,1,1060,1,,1,1059
168281,1,528,0,0,0,528
168342,1,553,0,5,5,548
168421,1,1120,0,,0,1120
168430,1,780,0,0,0,780
168528,1,490,0,0,0,490
168546,1,402,0,0,0,402
168591,1,447,0,0,0,447
168607,1,308,0,,0,308
168740,1,291,0,0,0,291
168786,1,296,0,,0,296
168847,1,1619,0,,0,1619
169080,1,904,0,,0,904
169248,1,3459,0,,0,3459
169327,1,132,0,0,0,132
169363,1,199,0,0,0,199
169442,1,256,0,,0,256
169479,1,529,14,,14,515
169716,1,521,0,0,0,521
169798,1,2785,0,,0,2785
169910,1,1791,0,0,0,1791
169983,1,363,0,0,0,363
170000,1,108,0,0,0,108
170037,1,274,0,0,0,274
170082,1,4285,1,,1,4284
170091,1,25,0,,0,25
170240,1,1436,0,,0,1436
170286,1,364,0,,0,364
170301,1,722,0,,0,722
170444,1,692,0,0,0,692
170532,1,347,0,,0,347
170639,1,379,0,,0,379
170675,1,366,0,,0,366
170806,1,209,0,,0,209
170967,1,128,0,0,0,128
170976,1,6675,0,,0,6675
171100,1,8005,0,,0,8005
171128,1,1379,0,,0,1379
171137,1,1041,0,1,1,1040
171146,1,605,0,,0,605
171456,1,1335,0,2,2,1333
171483,1,420,0,,0,420
171492,1,322,0,0,0,322
171571,1,2540,0,,0,2540
171599,1,346,0,0,0,346
171881,1,35,0,0,0,35
172033,1,4,0,,0,4
172051,1,1346,0,0,0,1346
172200,1,898,0,,0,898
172264,1,295,0,,0,295
172334,1,305,0,,0,305
172440,1,138,0,,0,138
172644,1,2398,0,,0,2398
172699,1,2891,0,,0,2891
172866,1,1,1,,1,0
173045,1,474,0,,0,474
173124,1,789,0,0,0,789
173142,1,138,0,,0,138
173160,1,557,0,,0,557
173258,1,567,0,,0,567
173300,1,545,1,0,1,544
173328,1,244,0,0,0,244
173452,1,196,0,,0,196
173647,1,541,0,,0,541
173665,1,547,0,0,0,547
173902,1,505,0,,0,505
173920,1,2423,1,0,1,2422
174020,1,80,0,0,0,80
174066,1,5858,1,,1,5857
174075,1,180,0,,0,180
174127,1,163,0,,0,163
174154,1,31,0,,0,31
174233,1,2122,1,,1,2121
174251,1,375,0,,0,375
174358,1,855,2,0,2,853
174437,1,204,0,,0,204
174491,1,407,0,,0,407
174507,1,2,0,0,0,2
174525,1,19,0,,0,19
174747,1,503,0,,0,503
174783,1,1733,1,0,1,1732
174792,1,461,0,,0,461
174817,1,283,0,,0,283
174844,1,823,0,0,0,823
174862,1,151,0,,0,151
174899,1,448,0,,0,448
174914,1,1348,0,,0,1348
175005,1,418,0,0,0,418
175014,1,163,0,,0,163
175078,1,478,1,0,1,477
175227,1,207,0,,0,207
175272,1,1561,0,0,0,1561
175342,1,524,0,,0,524
175421,1,226,0,,0,226
175430,1,109,0,,0,109
175616,1,343,0,,0,343
175856,1,1281,0,,0,1281
175980,1,252,0,,0,252
176017,1,3895,0,,0,3895
176035,1,289,0,,0,289
176044,1,388,0,0,0,388
176053,1,570,0,,0,570
176080,1,3617,0,,0,3617
176318,1,320,0,,0,320
176336,1,5,0,,0,5
176372,1,1553,0,,0,1553
176406,1,201,0,,0,201
176479,1,180,0,0,0,180
176628,1,203,0,,0,203
176664,1,80,0,,0,80
176770,1,3,0,,0,3
176789,1,27,0,,0,27
176910,1,70,0,,0,70
176947,1,268,0,,0,268
176965,1,1578,1,,1,1577
177038,1,3,0,0,0,3
177065,1,447,0,,0,447
177083,1,11,0,,0,11
177117,1,94,0,,0,94
177144,1,269,0,,0,269
177214,1,392,0,,0,392
177339,1,350,0,,0,350
177418,1,140,0,,0,140
177472,1,1824,0,,0,1824
177542,1,150,0,0,0,150
177551,1,340,0,,0,340
177746,1,162,0,,0,162
177816,1,6,0,,0,6
177940,1,452,0,,0,452
177968,1,989,0,,0,989
178059,1,554,0,0,0,554
178208,1,22,0,,0,22
178244,1,280,0,,0,280
178341,1,998,0,,0,998
178369,1,449,19,,19,430
178387,1,785,0,,0,785
178396,1,4672,0,,0,4672
178402,1,1195,0,,0,1195
178411,1,1466,0,,0,1466
178420,1,415,0,,0,415
178615,1,1258,0,,0,1258
178624,1,1336,1,,1,1335
178679,1,114,0,,0,114
178697,1,384,0,,0,384
178721,1,155,0,0,0,155
178767,1,5,0,0,0,5
178891,1,330,0,,0,330
179043,1,402,0,,0,402
179159,1,1556,0,,0,1556
179265,1,120,0,0,0,120
179326,1,422,0,,0,422
179548,1,160,0,0,0,160
179557,1,1748,0,,0,1748
179566,1,3158,0,,0,3158
179867,1,1762,0,,0,1762
179894,1,433,0,,0,433
179946,1,225,0,0,0,225
179955,1,241,0,,0,241
179964,1,204,2,0,2,202
180054,1,97,0,,0,97
180106,1,338,0,,0,338
180179,1,581,0,0,0,581
180203,1,28,0,,0,28
180258,1,95,0,0,0,95
180416,1,205,0,,0,205
180461,1,2929,3,,3,2926
180489,1,1491,0,,0,1491
180522,1,226,0,,0,226
180595,1,216,0,,0,216
180647,1,127,0,0,0,127
180692,1,327,0,0,0,327
180814,1,27,0,0,0,27
180832,1,32,0,,0,32
180878,1,50,0,,0,50
180948,1,382,0,,0,382
180984,1,321,0,,0,321
181002,1,1031,0,,0,1031
181020,1,303,0,,0,303
181127,1,273,0,0,0,273
181215,1,996,0,0,0,996
181297,1,43,0,,0,43
181330,1,337,0,0,0,337
181394,1,1986,0,0,0,1986
181446,1,420,0,,0,420
181464,1,4833,0,0,0,4833
181534,1,257,0,0,0,257
181543,1,7,0,,0,7
181604,1,102,0,,0,102
181738,1,155,0,,0,155
181783,1,578,0,0,0,578
181853,1,97,0,,0,97
182005,1,2041,0,,0,2041
182148,1,40,0,0,0,40
182281,1,3756,1,0,1,3755
182290,1,3513,0,0,0,3513
182306,1,230,0,0,0,230
