UNITID,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSAIANM,CSAIANW,CSASIAT,CSASIAM,CSASIAW,CSBKAAT,CSBKAAM,CSBKAAW,CSHISPT,CSHISPM,CSHISPW,CSNHPIT,CSNHPIM,CSNHPIW,CSWHITT,CSWHITM,CSWHITW,CS2MORT,CS2MORM,CS2MORW,CSUNKNT,CSUNKNM,CSUNKNW,CSNRALT,CSNRALM,CSNRALW
109040,947,182,765,2,1,1,115,36,79,99,19,80,620,99,521,14,5,9,65,15,50,30,7,23,2,0,2,0,0,0
109086,12,7,5,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,5,3,2,2,0,2,1,1,0,1,1,0
109208,2515,902,1613,17,2,15,367,159,208,171,63,108,570,194,376,23,8,15,1144,388,756,152,61,91,56,22,34,15,5,10
109350,1638,618,1020,3,1,2,58,27,31,165,44,121,966,375,591,2,0,2,331,130,201,73,26,47,36,12,24,4,3,1
109651,586,257,329,0,0,0,189,71,118,7,5,2,63,31,32,3,0,3,84,45,39,18,7,11,3,1,2,219,97,122
109721,134,36,98,0,0,0,2,1,1,48,22,26,38,9,29,0,0,0,32,1,31,7,1,6,7,2,5,0,0,0
109730,36,30,6,0,0,0,0,0,0,11,10,1,12,9,3,1,1,0,9,7,2,0,0,0,3,3,0,0,0,0
109785,2543,775,1768,11,3,8,293,93,200,178,60,118,825,217,608,21,5,16,831,265,566,110,45,65,186,48,138,88,39,49
109819,2651,868,1783,6,2,4,118,35,83,70,24,46,1819,589,1230,1,0,1,532,178,354,86,32,54,3,1,2,16,7,9
109907,546,154,392,4,1,3,13,7,6,72,18,54,271,68,203,2,1,1,149,46,103,22,9,13,13,4,9,0,0,0
109934,222,38,184,3,0,3,13,2,11,24,4,20,135,22,113,4,1,3,14,0,14,26,8,18,3,1,2,0,0,0
110060,85,51,34,1,1,0,19,8,11,1,1,0,5,3,2,0,0,0,4,4,0,0,0,0,0,0,0,55,34,21
110097,1350,551,799,5,1,4,219,112,107,28,11,17,234,70,164,8,4,4,566,242,324,120,47,73,68,28,40,102,36,66
110194,142,141,1,0,0,0,11,11,0,4,4,0,87,87,0,1,1,0,38,37,1,0,0,0,1,1,0,0,0,0
110219,692,259,433,5,1,4,5,3,2,144,64,80,37,14,23,2,1,1,304,101,203,64,23,41,131,52,79,0,0,0
110246,1874,844,1030,17,7,10,116,38,78,27,14,13,504,219,285,7,1,6,1031,482,549,108,51,57,40,17,23,24,15,9
110316,444,105,339,1,1,0,38,12,26,24,4,20,49,10,39,5,1,4,254,55,199,27,11,16,17,3,14,29,8,21
110334,1256,439,817,3,1,2,39,12,27,9,5,4,627,202,425,0,0,0,490,183,307,68,30,38,12,5,7,8,1,7
110361,3296,1160,2136,12,5,7,196,83,113,284,93,191,1142,342,800,24,12,12,1218,462,756,154,47,107,129,48,81,137,68,69
110370,450,161,289,1,0,1,54,13,41,16,5,11,56,25,31,1,1,0,89,32,57,16,6,10,15,8,7,202,71,131
110398,306,129,177,2,1,1,65,23,42,9,2,7,59,30,29,2,2,0,137,55,82,0,0,0,17,11,6,15,5,10
110404,523,319,204,0,0,0,129,61,68,7,4,3,40,31,9,0,0,0,158,104,54,27,12,15,1,1,0,161,106,55
110413,1303,504,799,6,0,6,55,21,34,36,21,15,456,144,312,7,6,1,489,193,296,94,34,60,36,16,20,124,69,55
110422,5763,2779,2984,11,6,5,739,365,374,32,18,14,1013,476,537,7,2,5,3126,1500,1626,415,191,224,292,149,143,128,72,56
110468,1070,317,753,1,0,1,117,47,70,82,28,54,257,65,192,1,1,0,460,123,337,46,11,35,85,31,54,21,11,10
110486,2978,978,2000,10,3,7,176,68,108,123,42,81,1706,497,1209,1,0,1,519,188,331,65,24,41,263,102,161,115,54,61
110495,2831,885,1946,3,3,0,278,108,170,61,18,43,1434,401,1033,16,7,9,693,227,466,98,32,66,151,56,95,97,33,64
110510,4670,1753,2917,13,5,8,281,130,151,246,93,153,2795,943,1852,8,3,5,677,273,404,107,39,68,194,82,112,349,185,164
110529,6976,3489,3487,11,7,4,1589,870,719,216,107,109,3095,1399,1696,14,9,5,1079,611,468,245,119,126,240,134,106,487,233,254
110538,4436,1904,2532,30,14,16,226,98,128,102,46,56,1406,541,865,8,3,5,2049,909,1140,222,87,135,272,124,148,121,82,39
110547,4526,1481,3045,4,2,2,436,196,240,531,148,383,2603,777,1826,14,5,9,448,176,272,131,44,87,159,58,101,200,75,125
110556,5960,2239,3721,23,12,11,649,250,399,154,68,86,3088,1067,2021,8,3,5,1278,521,757,165,56,109,235,88,147,360,174,186
