UNITID,PSGRTYPE,PGREVCT,PGEXCLU,PGADJCT,PGCMBAC,PGCMOBA,PGCMTOT,SSREVCT,SSEXCLU,SSADJCT,SSCMBAC,SSCMOBA,SSCMTOT,NRREVCT,NREXCLU,NRADJCT,NRCMBAC,NRCMOBA,NRCMTOT,TTREVCT,TTEXCLU,TTADJCT,TTCMBAC,TTCMOBA,TTCMTOT
447050,1,9,0,9,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0
447263,1,13,0,13,1,12,13,9,0,9,1,8,9,6,0,6,0,1,1,28,0,28,2,21,23
447421,1,46,0,46,3,27,30,6,0,6,1,3,4,9,0,9,0,3,3,61,0,61,4,33,37
447458,1,30,0,30,10,0,10,16,0,16,6,0,6,20,0,20,3,16,19,66,0,66,19,16,35
447689,1,1240,0,1240,233,0,233,237,0,237,50,0,50,600,0,600,157,0,157,2077,0,2077,440,0,440
447953,1,61,0,61,19,0,19,17,0,17,5,0,5,35,0,35,3,0,3,113,0,113,27,0,27
448354,1,31,0,31,21,0,21,5,0,5,5,0,5,1,0,1,1,0,1,37,0,37,27,0,27
448673,1,17,0,17,0,10,10,3,0,3,0,2,2,0,0,0,0,0,0,20,0,20,0,12,12
449038,1,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,7,0,7,1,0,1
449135,1,60,0,60,7,35,42,6,0,6,0,6,6,0,0,0,0,0,0,66,0,66,7,41,48
449339,1,471,1,470,129,70,199,51,0,51,21,5,26,270,0,270,98,67,165,792,1,791,248,142,390
449348,1,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2
449384,1,3,0,3,0,2,2,1,0,1,0,0,0,1,0,1,0,1,1,5,0,5,0,3,3
449658,1,6,0,6,3,0,3,0,0,0,0,0,0,22,0,22,8,0,8,28,0,28,11,0,11
449764,1,9,0,9,1,0,1,3,0,3,1,0,1,2,0,2,0,0,0,14,0,14,2,0,2
449870,1,4,0,4,1,0,1,0,0,0,0,0,0,2,0,2,2,0,2,6,0,6,3,0,3
