unitid,ASCDEG,BASDEG,MASDEG,CERT1,CERT1a,CERT1b,CERT2,CERT4,PBACERT,PMACERT,DocDegRS,DocDegPP,DocDegOT,SDOCDEG,SMASDEG,SBASDEG,SASCDEG,SBAMACRT,SCERT24,SCERT1a,SCERT1b
114123,31,0,13,0,0,0,1,0,0,0,0,12,0,12,13,0,31,0,1,0,0
114266,802,,,93,0,93,210,0,,,,,,,,,664,,208,0,90
114354,478,275,24,0,0,0,0,0,0,0,0,0,0,0,24,275,470,0,0,0,0
114433,199,12,0,2,0,2,104,0,0,0,0,0,0,0,0,12,178,0,104,0,1
114460,0,,,165,0,165,121,0,,,,,,,,,0,,121,0,165
114549,0,0,101,0,0,0,0,0,127,6,89,0,0,89,101,0,0,133,0,0,0
114585,0,0,35,0,0,0,0,0,0,0,0,155,0,155,35,0,0,0,0,0,0
114637,0,,,67,0,67,11,0,,,,,,,,,0,,11,0,67
114716,998,76,0,568,0,568,573,0,0,0,0,0,0,0,0,76,855,0,569,0,523
114734,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
114761,0,,,37,0,37,28,0,,,,,,,,,0,,28,0,37
114789,2386,,,1256,0,1256,240,3,,,,,,,,,2200,,243,0,1090
114813,0,669,306,0,0,0,0,0,0,0,0,0,0,0,306,669,0,0,0,0,0
114840,0,0,342,0,0,0,0,0,30,9,28,71,0,99,340,0,0,39,0,0,0
114859,3497,,,65,0,65,1893,0,,,,,,,,,2201,,1842,0,59
114938,641,,,557,0,557,0,0,,,,,,,,,578,,0,0,498
114947,0,,,119,18,101,0,0,,,,,,,,,0,,0,18,101
115001,1252,,,294,0,294,244,0,,,,,,,,,1027,,238,0,258
115010,64,12,0,0,0,0,96,23,0,0,0,0,0,0,0,12,64,0,119,0,0
115083,5,146,498,21,0,21,0,0,90,0,16,114,0,130,493,146,5,84,0,0,17
115126,4002,,,2005,0,2005,1711,0,,,,,,,,,1713,,1334,0,1907
115214,0,0,14,0,0,0,0,0,5,0,24,0,0,24,14,0,0,5,0,0,0
115296,2349,,,202,0,202,1383,0,,,,,,,,,1550,,1193,0,177
115357,0,,,25,0,25,53,0,,,,,,,,,0,,53,0,25
115393,1360,,,31,0,31,894,56,,,,,,,,,1051,,824,0,31
115409,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0
115658,0,,,14,0,14,52,0,,,,,,,,,0,,52,0,14
115728,0,128,107,0,0,0,0,0,27,1,0,0,0,0,107,128,0,27,0,0,0
115746,0,0,122,0,0,0,0,0,0,0,66,0,0,66,122,0,0,0,0,0,0
115755,0,1537,193,0,0,0,0,0,3,0,0,0,0,0,193,1537,0,3,0,0,0
115773,22,62,72,5,0,5,0,0,0,0,0,13,0,13,72,62,22,0,0,0,5
115861,1785,,,170,64,106,652,7,,,,,,,,,1100,,619,63,100
115931,0,,,555,0,555,0,0,,,,,,,,,0,,0,0,555
116226,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,0,0,0,0
116350,0,,,0,0,0,144,0,,,,,,,,,0,,144,0,0
116439,4236,,,1457,233,1224,1381,0,,,,,,,,,1996,,1348,183,937
116563,0,,,80,0,80,97,3,,,,,,,,,0,,100,0,80
116846,0,3,24,52,52,0,0,0,0,7,0,0,0,0,23,3,0,7,0,52,0
117052,975,,,1591,0,1591,92,7,,,,,,,,,818,,99,0,1128
117104,17,96,56,0,0,0,0,0,0,0,0,0,0,0,56,96,17,0,0,0,0
117140,17,1071,976,0,0,0,6,0,0,0,45,74,0,119,973,1071,17,0,6,0,0
117168,0,119,12,0,0,0,0,1,0,0,0,0,0,0,12,119,0,0,1,0,0
117195,248,,,17,0,17,35,0,,,,,,,,,202,,35,0,16
117238,0,,,33,0,33,32,0,,,,,,,,,0,,32,0,33
117247,650,,,113,0,113,237,0,,,,,,,,,478,,229,0,96
117274,286,,,5,0,5,99,0,,,,,,,,,225,,93,0,4
117283,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
117520,0,0,0,0,0,0,0,0,0,0,0,182,0,182,0,0,0,0,0,0,0
117557,0,21,77,0,0,0,0,0,0,0,0,0,0,0,77,21,0,0,0,0,0
