UNITID,ARANK,SAINSTT,SAINSTM,SAINSTW,SA_9MCT,SA_9MCM,SA_9MCW,SATOTLT,SATOTLM,SATOTLW,SA09MCT,SA09MCM,SA09MCW,SA10MCT,SA10MCM,SA10MCW,SA11MCT,SA11MCM,SA11MCW,SA12MCT,SA12MCM,SA12MCW,SAOUTLT,SAOUTLM,SAOUTLW,SA09MOT,SA09MOM,SA09MOW,SA10MOT,SA10MOM,SA10MOW,SA11MOT,SA11MOM,SA11MOW,SA12MOT,SA12MOM,SA12MOW,SAEQ9OT,SAEQ9OM,SAEQ9OW,SAEQ9AT,SAEQ9AM,SAEQ9AW,SA09MAT,SA09MAM,SA09MAW,SA10MAT,SA10MAM,SA10MAW,SA11MAT,SA11MAM,SA11MAW,SA12MAT,SA12MAM,SA12MAW
198136,7,223,120,103,0,0,0,223,120,103,140,78,62,1,0,1,4,4,0,78,38,40,19810700,11115905,8694795,11118016,6482582,4635434,90845,0,90845,332250,332250,0,8269589,4301073,3968516,17673749,9980167,7693582,79254,83168,74695,79414,83110,74765,90845,,90845,83063,83063,,106020,113186,99213
198154,7,265,123,142,0,0,0,265,123,142,159,68,91,10,5,5,0,0,0,96,50,46,15485577,7188259,8297318,8285319,3575889,4709430,600690,308590,292100,0,0,0,6599568,3303780,3295788,13775616,6331455,7444161,51983,51475,52424,52109,52587,51752,60069,61718,58420,,,,68746,66076,71648
198206,7,62,28,34,1,0,1,61,28,33,0,0,0,28,15,13,0,0,0,33,13,20,3529764,1582361,1947403,0,0,0,1436520,800455,636065,0,0,0,2093244,781906,1311338,2862801,1306839,1555962,46931,46673,47150,,,,51304,53364,48928,,,,63432,60147,65567
198215,7,82,34,48,0,0,0,82,34,48,79,33,46,0,0,0,0,0,0,3,1,2,5582631,2463506,3119125,5281831,2356506,2925325,0,0,0,0,0,0,300800,107000,193800,5507431,2436756,3070675,67164,71669,63972,66859,71409,63594,,,,,,,100267,107000,96900
198233,7,140,66,74,0,0,0,140,66,74,100,42,58,8,6,2,1,0,1,31,18,13,7322101,3438204,3883897,4917360,2037924,2879436,381442,294000,87442,67116,0,67116,1956183,1106280,849903,6782696,3132234,3650462,48448,47458,49331,49174,48522,49645,47680,49000,43721,67116,,67116,63103,61460,65377
198251,7,167,70,97,0,0,0,167,70,97,96,48,48,2,1,1,0,0,0,69,21,48,9466956,3825432,5641524,4848420,2394972,2453448,133440,71892,61548,0,0,0,4485096,1358568,3126528,8332338,3478601,4853737,49894,49694,50039,50504,49895,51114,66720,71892,61548,,,,65001,64694,65136
198260,7,344,150,194,0,0,0,344,150,194,0,0,0,340,147,193,0,0,0,4,3,1,20059613,8902162,11157451,0,0,0,19744973,8682331,11062642,0,0,0,314640,219831,94809,18006456,7978971,10027485,52344,53193,51688,,,,58073,59063,57319,,,,78660,73277,94809
198303,7,48,26,22,0,0,0,48,26,22,35,21,14,1,1,0,0,0,0,12,4,8,3395210,1830700,1564510,2294510,1380000,914510,62000,62000,0,0,0,0,1038700,388700,650000,3129335,1727325,1402010,65194,66436,63728,65557,65714,65322,62000,62000,,,,,86558,97175,81250
198321,7,67,26,41,0,0,0,67,26,41,61,21,40,0,0,0,0,0,0,6,5,1,3349335,1314113,2035222,3023615,1034341,1989274,0,0,0,0,0,0,325720,279772,45948,3267905,1244170,2023735,48775,47853,49359,49567,49254,49732,,,,,,,54287,55954,45948
198330,7,135,59,76,0,0,0,135,59,76,101,44,57,0,0,0,9,1,8,25,14,11,6643380,2979885,3663495,4755057,2112258,2642799,0,0,0,449739,73755,375984,1438584,793872,644712,6201882,2767994,3433888,45940,46915,45183,47080,48006,46365,,,,49971,73755,46998,57543,56705,58610
198367,7,68,32,36,0,0,0,68,32,36,62,29,33,2,1,1,0,0,0,4,2,2,3602390,1659668,1942722,3214098,1460574,1753524,113060,50870,62190,0,0,0,275232,148224,127008,3522276,1617525,1904751,51798,50548,52910,51840,50365,53137,56530,50870,62190,,,,68808,74112,63504
198376,7,84,40,44,0,0,0,84,40,44,84,40,44,0,0,0,0,0,0,0,0,0,4876756,2258949,2617807,4876756,2258949,2617807,0,0,0,0,0,0,0,0,0,4876756,2258949,2617807,58057,56474,59496,58057,56474,59496,,,,,,,,,
198385,7,212,107,105,0,0,0,212,107,105,209,106,103,0,0,0,0,0,0,3,1,2,22601951,11941933,10660018,22331398,11846021,10485377,0,0,0,0,0,0,270553,95912,174641,22534313,11917955,10616358,106294,111383,101108,106849,111755,101800,,,,,,,90184,95912,87321
198419,7,1429,890,539,6,4,2,1423,886,537,1303,818,485,5,3,2,15,13,2,100,52,48,223360015,153164309,70195706,206873109,143137789,63735320,598634,429584,169050,3292000,3040900,251100,12596272,6556036,6040236,219551940,150928898,68623042,154288,170349,127790,158767,174985,131413,119727,143195,84525,219467,233915,125550,125963,126078,125838
198455,7,152,48,104,1,0,1,151,48,103,70,26,44,1,0,1,0,0,0,80,22,58,8814473,2831355,5983118,3723627,1365084,2358543,60000,0,60000,0,0,0,5030846,1466271,3564575,7550762,2464787,5085974,50005,51350,49378,53195,52503,53603,60000,,60000,,,,62886,66649,61458
198464,7,1166,579,587,0,0,0,1166,579,587,884,456,428,0,0,0,3,3,0,279,120,159,97417411,51661567,45755844,68468108,37532054,30936054,0,0,0,461232,461232,0,28488071,13668281,14819790,90211449,48160553,42050897,77368,83179,71637,77453,82307,72281,,,,153744,153744,,102108,113902,93206
198491,7,67,18,49,0,0,0,67,18,49,35,9,26,0,0,0,0,0,0,32,9,23,3891521,1060437,2831084,1640594,429630,1210964,0,0,0,0,0,0,2250927,630807,1620120,3328789,902735,2426054,49683,50152,49511,46874,47737,46576,,,,,,,70341,70090,70440
198507,7,84,52,32,0,0,0,84,52,32,79,50,29,3,1,2,0,0,0,2,1,1,5898627,3748354,2150273,5539011,3635354,1903657,242116,60000,182116,0,0,0,117500,53000,64500,5845040,3729104,2115936,69584,71714,66123,70114,72707,65643,80705,60000,91058,,,,58750,53000,64500
198516,7,456,222,234,0,0,0,456,222,234,409,205,204,23,11,12,21,5,16,3,1,2,39693997,20140855,19553142,34071609,17860785,16210824,2794365,1470021,1324344,2464185,664043,1800142,363838,146006,217832,38875119,19836496,19038624,85252,89354,81362,83305,87126,79465,121494,133638,110362,117342,132809,112509,121279,146006,108916
198534,7,320,144,176,0,0,0,320,144,176,2,0,2,212,92,120,3,2,1,103,50,53,22250088,9797601,12452487,127566,0,127566,13880145,5915516,7964629,202238,114214,88024,8040139,3767871,4272268,18815231,8243295,10571937,58798,57245,60068,63783,,63783,65472,64299,66372,67413,57107,88024,78060,75357,80609
198543,7,250,134,116,0,0,0,250,134,116,182,101,81,25,10,15,26,13,13,17,10,7,20007362,10951649,9055713,13814484,7895810,5918674,2142412,920004,1222408,2485079,1187472,1297607,1565387,948363,617024,18949490,10406438,8543052,75798,77660,73647,75904,78176,73070,85696,92000,81494,95580,91344,99816,92082,94836,88146
198552,7,216,86,130,0,0,0,216,86,130,71,26,45,21,10,11,0,0,0,124,50,74,13208616,5050492,8158124,3414850,1237344,2177506,1188145,553884,634261,0,0,0,8605621,3259264,5346357,10938396,4180288,6758109,50641,48608,51985,48096,47590,48389,56578,55388,57660,,,,69400,65185,72248
198561,7,148,69,79,0,0,0,148,69,79,119,57,62,10,6,4,7,3,4,12,3,9,9711750,4518050,5193700,7272630,3559150,3713480,802600,541495,261105,472945,162890,310055,1163575,254515,909060,9254520,4370626,4883894,62531,63342,61821,61115,62441,59895,80260,90249,65276,67564,54297,77514,96965,84838,101007
