UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON,EFDEEX1,EFDEEX2,EFDEEX3,EFDEEX4,EFDEEX5
120971,1,17566,12985,2400,2181,12757,0,228,0,0
121044,1,21192,11882,6810,2500,11582,33,26,241,0
121150,1,10446,3015,734,6697,2088,903,4,20,0
121257,1,1168,,,1168,,,,,
121275,1,64,,,64,,,,,
121309,1,4445,459,1201,2785,443,16,0,0,0
121345,1,1761,,,1761,,,,,
121363,1,3623,1265,1243,1115,1261,3,1,0,0
121433,1,137,,,137,,,,,
121619,1,23936,5043,4799,14094,4888,0,106,49,0
121628,1,132,0,34,98,,,,,
121637,1,116,,,116,,,,,
121691,1,4059,333,738,2988,280,49,0,4,0
121707,1,3686,1499,920,1267,1492,4,1,2,0
121859,1,194,,,194,,,,,
121868,1,187,,,187,,,,,
121886,1,15593,2024,3690,9879,2020,2,0,2,0
121901,1,17960,9626,5436,2898,9476,0,102,48,0
122117,1,108,,,108,,,,,
122180,1,18333,15653,1563,1117,15454,0,150,49,0
122205,1,17392,8439,5804,3149,8190,0,95,154,0
122296,1,2048,302,32,1714,286,16,0,0,0
122339,1,12956,11602,866,488,11534,46,1,21,0
122375,1,18028,12656,3598,1774,12589,40,0,27,0
122384,1,13101,9103,1053,2945,9058,27,0,18,0
122409,1,36484,1785,21657,13042,1666,66,0,53,0
122436,1,9041,993,0,8048,668,300,23,2,0
122454,1,70,22,48,0,7,15,0,0,0
122506,1,442,,,442,,,,,
122597,1,26899,14003,11185,1711,13277,128,0,598,0
122612,1,10034,1394,5220,3420,1092,131,0,171,0
122649,1,161,0,0,161,,,,,
122658,1,16640,12215,4020,405,11416,0,799,0,0
122685,1,2240,1438,141,661,1329,109,0,0,0
122694,1,813,0,203,610,,,,,
122728,1,1676,319,740,617,190,121,0,8,0
122746,1,7326,3227,2240,1859,3170,2,11,44,0
122755,1,37133,11794,19939,5400,10439,92,0,1263,0
122791,1,6894,3306,1918,1670,3185,1,0,120,0
122834,1,9,8,1,0,8,0,0,0,0
122889,1,12746,5498,4755,2493,5149,0,214,135,0
122931,1,8918,417,0,8501,318,35,3,61,0
122977,1,23408,6187,10257,6964,5577,0,389,221,0
123013,1,14967,9128,3550,2289,8977,0,81,70,0
123095,1,915,331,584,0,74,253,0,4,0
123165,1,1116,,,1116,,,,,
123217,1,11928,4594,4332,3002,4593,1,0,0,0
123280,1,39,18,15,6,9,8,0,1,0
123299,1,7075,4182,1421,1472,3928,0,244,10,0
123341,1,15773,10536,2994,2243,10498,16,1,21,0
123350,1,122,,,122,,,,,
123448,1,371,255,99,17,105,150,0,0,0
123457,1,858,132,354,372,113,18,0,1,0
123484,1,1329,611,296,422,595,15,1,0,0
123493,1,163,,,163,,,,,
123509,1,7776,4380,1080,2316,4224,1,0,155,0
123527,1,9913,6658,2401,854,6359,0,272,27,0
123554,1,3165,34,19,3112,27,7,0,0,0
123563,1,8105,6713,997,395,6687,6,1,19,0
123572,1,7371,2679,4146,546,2646,25,0,8,0
123633,1,260,0,260,0,,,,,
123642,1,272,,,272,,,,,
123651,1,2268,251,1501,516,178,72,0,1,0
123679,1,734,0,734,0,,,,,
123800,1,15985,4457,5524,6004,4237,0,218,2,0
123916,1,75,75,,,31,44,0,0,0
123943,1,729,13,0,716,0,0,0,13,0
123952,1,522,,,522,,,,,
123961,1,49318,7556,15291,26471,4891,2155,0,435,75
123970,1,956,143,701,112,140,3,0,0,0
124113,1,3943,1051,681,2211,1049,2,0,0,0
124283,1,237,165,0,72,50,77,1,37,0
124292,1,497,,,497,,,,,
124487,1,132,12,53,67,3,0,0,0,9
124681,1,1108,,,1108,,,,,
124706,1,744,0,744,0,,,,,
124937,1,714,0,714,0,,,,,
125028,1,10741,6962,2800,979,6940,10,12,0,0
125037,1,258,22,133,103,9,12,0,1,0
125082,1,94,,,94,,,,,
125091,1,10523,2442,3231,4850,2376,0,66,0,0
125170,1,5484,5218,135,131,4812,0,208,198,0
125231,1,46455,46455,,,987,43561,0,1828,79
125310,1,55,,,55,,,,,
125462,1,3801,2477,504,820,2297,0,165,15,0
125471,1,9481,8417,650,414,8203,0,107,107,0
125499,1,6717,5577,875,265,5537,12,2,26,0
125532,1,1641,732,437,472,330,398,0,0,4
125718,1,124,,,124,,,,,
125727,1,1238,0,267,971,,,,,
125763,1,1387,12,350,1025,5,0,0,7,0
125897,1,1036,23,402,611,23,0,0,0,0
126012,1,517,,,517,,,,,
126049,1,286,14,18,254,3,10,0,1,0
126076,1,142,,,142,,,,,
