UNITID,EFCSTATE,LINE,EFRES01,EFRES02
236513,2,2,1,0
236595,2,2,2,1
236610,2,2,1,0
236638,2,2,1,0
236692,2,2,3,1
236753,2,2,4,3
236896,2,2,1,1
236939,2,2,25,24
236975,2,2,1,0
237039,2,2,10,1
237057,2,2,3,3
237066,2,2,6,5
237109,2,2,3,3
238032,2,2,1,1
239008,2,2,1,0
239017,2,2,1,0
239071,2,2,1,1
239318,2,2,3,1
239512,2,2,1,0
239716,2,2,1,1
240268,2,2,1,1
240329,2,2,1,1
240374,2,2,1,0
240444,2,2,3,3
240462,2,2,1,0
240471,2,2,1,1
240480,2,2,1,1
240657,2,2,2,2
240718,2,2,3,2
240727,2,2,6,6
243744,2,2,4,3
243780,2,2,2,0
246354,2,2,2,1
247834,2,2,1,1
262086,2,2,1,0
262129,2,2,1,1
383190,2,2,1,1
404426,2,2,1,1
420398,2,2,2,1
426314,2,2,11,0
433387,2,2,6,0
441371,2,2,2,1
441937,2,2,1,1
442329,2,2,1,1
442523,2,2,31,10
444787,2,2,9,0
445027,2,2,4,0
445188,2,2,1,1
451583,2,2,1,0
455114,2,2,4,2
459116,2,2,1,0
460862,2,2,1,0
464226,2,2,5,5
482477,2,2,2,0
482680,2,2,2,1
483124,2,2,12,3
484613,2,2,4,0
487092,2,2,1,1
487852,2,2,1,0
488077,2,2,11,0
489779,2,2,8,0
495767,2,2,8,6
100663,4,4,3,3
100706,4,4,1,1
100724,4,4,4,4
100751,4,4,30,30
100858,4,4,7,7
101435,4,4,1,1
101912,4,4,3,1
102049,4,4,2,1
102094,4,4,2,1
102614,4,4,2,2
103741,4,4,61,21
103954,4,4,2,1
104151,4,4,8446,8041
104179,4,4,4189,4092
104346,4,4,1601,313
104391,4,4,41,3
104425,4,4,660,447
104443,4,4,15,7
104577,4,4,655,376
104586,4,4,204,195
104708,4,4,1878,1142
104717,4,4,2029,1704
105145,4,4,440,211
105154,4,4,1713,992
105206,4,4,358,124
105297,4,4,73,73
105330,4,4,3590,3437
105349,4,4,85,32
105428,4,4,883,513
105525,4,4,2203,1396
105659,4,4,335,69
105668,4,4,250,69
105747,4,4,660,394
105792,4,4,448,285
106111,4,4,19,7
106397,4,4,6,6
106412,4,4,1,1
106467,4,4,1,1
107071,4,4,1,1
107141,4,4,1,1
108232,4,4,12,2
108807,4,4,1,0
108852,4,4,1,1
109350,4,4,1,1
109907,4,4,1,1
110097,4,4,8,5
110361,4,4,5,4
110413,4,4,3,3
110422,4,4,16,16
