UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
121363,0,74,0,0,0,74,0,0
121619,0,237,0,0,0,237,0,0
121691,0,191,109,25,15,0,10,32
121707,0,76,0,0,0,76,0,0
121886,0,203,0,0,0,203,0,0
121901,0,269,0,0,0,269,0,0
122180,0,275,0,0,0,275,0,0
122205,0,244,0,0,0,244,0,0
122296,0,182,19,17,110,36,0,0
122339,0,181,0,0,0,181,0,0
122375,0,254,0,0,0,254,0,0
122384,0,144,0,0,0,144,0,0
122409,0,1016,312,247,225,0,227,5
122436,0,513,219,148,131,15,0,0
122506,0,28,0,0,0,0,0,28
122597,0,827,332,189,153,0,152,1
122612,0,445,165,143,122,15,0,0
122649,0,6,6,0,0,0,0,0
122658,0,278,0,0,0,278,0,0
122685,0,48,0,0,0,48,0,0
122694,0,19,0,0,0,19,0,0
122728,0,45,4,27,12,0,0,2
122746,0,140,0,0,0,140,0,0
122755,0,893,264,174,259,0,194,2
122782,0,1,0,0,0,1,0,0
122791,0,150,0,0,0,150,0,0
122889,0,228,0,0,0,228,0,0
122931,0,614,139,147,119,0,203,6
122977,0,355,0,0,0,355,0,0
123013,0,308,0,0,0,308,0,0
123095,0,55,0,0,0,0,0,55
123165,0,110,25,45,38,0,0,2
123217,0,225,0,0,0,225,0,0
123299,0,127,0,0,0,127,0,0
123341,0,236,0,0,0,236,0,0
123448,0,5,0,2,2,0,0,1
123457,0,37,3,6,19,2,0,7
123484,0,35,0,0,0,35,0,0
123509,0,147,0,0,0,147,0,0
123527,0,180,0,0,0,142,0,38
123554,0,205,72,98,35,0,0,0
123563,0,134,0,0,0,134,0,0
123572,0,233,114,56,41,0,22,0
123633,0,11,0,0,0,0,0,11
123651,0,85,27,26,32,0,0,0
123679,0,29,0,0,0,29,0,0
123800,0,219,163,0,56,0,0,0
123916,0,18,2,1,13,2,0,0
123943,0,70,6,21,43,0,0,0
123952,0,48,0,0,0,0,0,48
123961,0,2430,1058,713,492,0,167,0
123970,0,59,39,20,0,0,0,0
124113,0,49,35,13,0,0,0,1
124283,0,14,14,0,0,0,0,0
124292,0,53,0,0,0,0,0,53
124487,0,7,7,0,0,0,0,0
124557,0,253,0,0,0,0,0,253
124706,0,35,0,0,0,35,0,0
124937,0,18,0,0,0,18,0,0
125028,0,137,0,0,0,137,0,0
125091,0,93,0,0,0,93,0,0
125170,0,65,0,0,0,65,0,0
125231,0,235,0,0,0,0,0,235
125462,0,33,0,0,0,33,0,0
125471,0,103,0,0,0,103,0,0
125499,0,159,0,0,0,159,0,0
125532,0,36,0,0,0,36,0,0
125718,0,11,4,6,1,0,0,0
125727,0,103,47,25,25,5,0,1
125763,0,103,38,30,11,0,24,0
125897,0,63,32,15,15,0,1,0
126012,0,22,5,1,3,0,0,13
126049,0,7,5,1,1,0,0,0
126100,0,10,0,0,0,10,0,0
126119,0,85,0,0,0,85,0,0
126182,0,109,27,20,43,19,0,0
126207,0,127,72,6,5,43,0,1
126289,0,114,114,0,0,0,0,0
126359,0,9,1,0,0,8,0,0
126562,0,4980,734,1011,1346,1889,0,0
126580,0,541,96,108,131,206,0,0
126605,0,25,0,0,0,0,0,25
126614,0,1641,492,361,310,478,0,0
126669,0,118,27,37,51,3,0,0
126678,0,213,60,72,75,0,4,2
126687,0,28,0,0,0,28,0,0
126711,0,119,54,45,20,0,0,0
126748,0,30,0,0,0,30,0,0
126775,0,341,103,72,43,76,27,20
126784,0,5,0,0,0,0,0,5
126818,0,1645,486,400,355,219,0,185
126827,0,55,0,0,0,0,0,55
126863,0,59,0,0,0,0,0,59
126942,0,103,45,17,41,0,0,0
126951,0,48,0,0,0,48,0,0
126979,0,30,8,9,10,1,0,2
127060,0,772,227,193,156,0,196,0
127185,0,216,58,42,74,9,33,0
127200,0,241,241,0,0,0,0,0
127273,0,14,8,2,3,0,0,1
127389,0,19,0,0,0,19,0,0
127556,0,325,50,59,77,126,11,2
127565,0,571,246,106,87,1,131,0
127617,0,38,0,0,0,0,0,38
127653,0,68,9,16,13,30,0,0
127714,0,7,0,0,0,0,0,7
127732,0,39,9,22,8,0,0,0
127741,0,397,157,109,65,14,52,0
127778,0,27,0,0,0,0,0,27
127820,0,186,0,0,0,0,0,186
127884,0,88,0,0,0,0,0,88
127909,0,93,0,0,0,93,0,0
127918,0,302,78,89,77,38,16,4
127945,0,62,8,22,32,0,0,0
128106,0,178,45,30,38,0,25,40
128179,0,24,0,0,0,24,0,0
128188,0,56,0,0,0,56,0,0
128258,0,33,33,0,0,0,0,0
128328,0,199,66,48,69,16,0,0
128391,0,136,36,11,34,0,55,0
128498,0,49,19,12,17,1,0,0
128577,0,42,15,5,3,0,0,19
128744,0,146,14,44,75,13,0,0
128771,0,392,166,134,89,3,0,0
128902,0,203,71,59,49,8,16,0
129020,0,2113,607,604,791,71,40,0
129154,0,80,7,18,43,12,0,0
129215,0,167,81,56,29,1,0,0
129242,0,337,87,100,122,28,0,0
129367,0,64,30,15,15,2,2,0
129428,0,5,4,0,0,0,1,0
129491,0,8,7,0,0,0,0,1
129525,0,341,85,116,95,11,0,34
129534,0,8,1,1,2,4,0,0
129543,0,74,34,15,12,10,3,0
129695,0,86,49,14,14,8,1,0
129729,0,83,55,15,9,4,0,0
129756,0,40,27,6,3,4,0,0
129774,0,19,2,10,6,1,0,0
129808,0,58,35,8,8,4,2,1
129941,0,248,36,63,54,0,95,0
130004,0,78,50,10,11,4,3,0
130040,0,28,8,4,8,7,1,0
130110,0,12,0,0,0,0,0,12
130183,0,56,0,0,0,0,0,56
130217,0,30,16,5,6,1,1,1
130226,0,396,150,131,96,19,0,0
130253,0,352,53,93,153,24,29,0
130314,0,122,15,48,58,1,0,0
130396,0,93,37,19,24,12,1,0
130493,0,409,167,155,86,1,0,0
130590,0,240,61,59,45,0,26,49
130606,0,55,24,5,7,14,5,0
130624,0,96,23,39,13,0,0,21
130697,0,424,142,111,113,53,0,5
130776,0,194,108,56,30,0,0,0
130794,0,2795,1051,580,711,0,453,0
130882,0,2,0,0,0,0,0,2
130907,0,379,0,0,0,0,0,379
130934,0,237,60,85,54,4,29,5
130943,0,1237,393,371,390,83,0,0
130989,0,19,3,7,9,0,0,0
131113,0,80,10,28,42,0,0,0
