UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
491817,6522,,,217,,217,,,2
491826,,130843,,145,,145,,,1
491835,,91869,,102,,102,,,1
491844,2920,,,97,,97,,,2
491853,,45912,,51,,51,,,1
491871,,15560,,17,,17,,,1
491880,,94686,,105,,179,,,1
491899,,74824,,83,,83,,,1
491905,,125336,,139,,139,,,1
491914,5520,,,184,,184,,,2
491923,,256008,,284,,284,,,1
491932,,35000,,39,,39,,,1
491941,6337,,,211,,211,,,2
491950,,421277,,468,,468,,,1
491978,,34206,,38,,38,,,1
491996,,64958,,72,,72,,,1
492005,,49350,,55,,55,,,1
492023,,229332,,255,,255,,,1
492069,2413,,,80,,80,,,2
492078,,43132,,48,,48,,,1
492096,,7950,,9,,9,,,1
492139,,84378,,94,,94,,,1
492148,,16500,,18,,18,,,1
492209,,,0,,,,,49,-2
492281,,30418,,34,,34,,,1
492306,,18000,,20,,20,,,1
492315,,7500,,8,,8,,,1
492324,,48000,,53,,53,,,1
492360,,31356,,35,,35,,,1
492421,,13752,,15,,15,,,1
492449,17648,17180,,607,,607,,,3
492476,4062,,,135,,135,,,2
492607,,,1554,,65,,65,27,-2
492643,,126000,,140,,140,,,1
492652,,54375,,60,,60,,,1
492661,,271451,,302,,302,,,1
492689,10381,,1028,346,43,415,57,475,2
492704,,,1556,,65,,65,113,-2
492722,13353,,,445,,445,,,2
492731,,151362,,168,,168,,,1
492759,10304,,,343,,286,,,2
492801,20639,,,688,,688,,,2
492935,,133300,,148,,148,,,1
492953,,84737,,94,,94,,,1
492962,55391,,,1846,,1846,,,2
493071,,740500,,823,,823,,,1
493080,1134,204902,,265,,265,,,3
493132,41112,,,1370,,1370,,,2
493150,,155570,,173,,173,,,1
493363,244,,672,8,28,18,31,20,2
493372,,13430,,15,,15,,,1
493451,3911,,,130,,130,,,2
493479,,9700,,11,,11,,,1
493488,1109,,,25,,25,,,2
493503,756,,,25,,25,,,2
493512,3688,,108,123,5,123,5,,2
493521,4725,,,105,,105,,,2
493530,,44000,,49,,49,,,1
493549,,115166,,128,,128,,,1
493558,,13860,,15,,15,,,1
493567,,48464,,54,,54,,,1
493576,,13955,,16,,16,,,1
493585,,44064,,49,,49,,,1
493594,1350,,,45,,45,,,2
493600,5280,,,176,,176,,,2
493619,426,,,14,,14,,,2
493628,,94334,,105,,105,,,1
493637,,53512,,59,,59,,,1
493646,6870,,,229,,229,,,2
493655,,23156,,26,,26,,,1
493664,2400,,,80,,80,,,2
493673,,,1944,,81,,81,15,-2
493682,3780,3740,,130,,130,,,3
493691,,30292,,34,,34,,,1
493707,3030,,,101,,101,,,2
493716,2160,,,72,,72,,,2
493734,,12554,,14,,14,,,1
493743,,165000,,183,,194,,,1
493752,,9050,,10,,10,,,1
493761,,105968,,118,,118,,,1
493770,,31115,,35,,35,,,1
493798,3168,,,106,,106,,,2
493804,,98506,,109,,109,,,1
493813,,179584,,200,,200,,,1
493822,5436,,,181,,181,,,2
493831,,49300,,55,,55,,,1
493868,,75900,,84,,84,,,1
493895,3429,,6019,114,251,114,251,,2
493910,,10260,,11,,11,,,1
493947,,,,,,,,629,-2
493992,,336236,,374,,374,,,1
494001,,80090,,89,,89,,,1
494010,,,1611,,67,,67,12,-2
494029,,17519,,19,,19,,,1
