UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
237367,1,2,91690,452300,153,3770,86940,39,162450,95499,701843,797342,8157,47122,55279,1,179,280,1,15,5,0,6,4,1,476221,1,140168,15761,538330,7600,561691,0,49120,49120,1227200,1087032
237385,1,2,99497,112286,49,1155,25361,93,32668,100745,170364,271109,1147,31531,32678,1,150,679,1,4.7,1,0,3,0.7,0,107303,2,0,16732,50121,554,67407,0,5171,5171,179881,179881
237437,2,2,2425,0,45,0,0,20,0,2445,45,2490,100,225,325,1,25,5,1,0.5,0,0,0.5,0,,,-2,,,,,,,,,,
237525,1,2,684628,345240,0,134078,179032,2054,51174,820760,575446,1396206,14361,2721694,2736055,1,5428,4788,1,45,16,21,4,4,4,1969580,1,567566,0,0,1690207,1690207,0,151676,151676,4379029,3811463
237598,2,2,3415,0,776,0,0,0,0,3415,776,4191,430,430,860,2,,,1,1,1,0,0,0,,,-2,,,,,,,,,,
237686,1,2,17320,313083,43,514,0,0,0,17834,313126,330960,151,237,388,1,32,0,1,4,2,1,0,1,0,118741,1,40629,7707,26566,58655,92928,0,9272,9272,261570,220941
237701,1,2,7583,0,0,506,0,15,0,8104,0,8104,876,0,876,2,,,1,18,2,0,2,14,0,116234,2,0,5505,1303,0,6808,1035,11157,12192,135234,135234
237783,1,2,62444,231288,106,797,5279,13,36277,63254,272950,336204,181,7051,7232,1,0,36,1,8,2,0,0,6,0,83312,1,20828,1875,20879,0,22754,0,0,0,126894,106066
237792,1,2,164583,319278,165,35154,2,2090,118820,201827,438265,640092,13807,60150,73957,1,341,1557,1,12.78,5,1,5,1.78,0,413822,1,92005,59052,340193,1402,400647,200,118552,118752,1025226,933221
237817,1,2,61421,261780,31,23381,35135,14,16149,84816,313095,397911,26514,17487,44001,1,27,11,1,5.18,1,4,0.18,0,2,185177,2,0,9440,5381,0,14821,425,35389,35814,235812,235812
237880,1,2,3776,1447,22,398,0,6,6853,4180,8322,12502,770,2500,3270,1,712,275,1,6,1,5,0,0,0,190476,2,0,3623,580467,1459,585549,0,1200,1200,777225,777225
237899,1,2,135744,30400,37,2568,0,0,43856,138312,74293,212605,273,36219,36492,1,62,83,1,4.63,2,2,0,0.63,0,155093,1,30664,0,226608,4384,230992,0,51107,51107,467856,437192
237932,1,2,103223,1279,76,4966,632,12945,0,121134,1987,123121,1045,29496,30541,1,93,348,1,8,1,1,2,4,0,135226,1,40089,8638,61001,899,70538,250,63514,63764,309617,269528
