UNITID,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSAIANM,CSAIANW,CSASIAT,CSASIAM,CSASIAW,CSBKAAT,CSBKAAM,CSBKAAW,CSHISPT,CSHISPM,CSHISPW,CSNHPIT,CSNHPIM,CSNHPIW,CSWHITT,CSWHITM,CSWHITW,CS2MORT,CS2MORM,CS2MORW,CSUNKNT,CSUNKNM,CSUNKNW,CSNRALT,CSNRALM,CSNRALW,CSGUUGUN,CSGUUGAG,CSGUUGTT,CSGUGUN,CSGUGAG,CSGUGTOT,CSGUTOTUN,CSGUTOTAG,CSGUTOT,CSGUKN
216764,4529,1600,2929,9,4,5,139,52,87,512,163,349,261,71,190,1,1,0,3381,1217,2164,131,51,80,60,29,31,35,12,23,0,,0,0,,0,0,,0,4529
216773,48,6,42,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,41,6,35,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,48
216782,105,5,100,0,0,0,2,1,1,42,3,39,3,0,3,0,0,0,54,1,53,4,0,4,0,0,0,0,0,0,0,,0,0,,0,0,,0,105
216807,292,124,168,1,1,0,2,0,2,7,4,3,3,2,1,0,0,0,215,88,127,3,1,2,60,28,32,1,0,1,0,,0,0,,0,0,,0,292
216816,170,103,67,0,0,0,33,24,9,3,2,1,7,2,5,1,1,0,95,50,45,5,4,1,9,5,4,17,15,2,0,,0,9,,9,9,,9,161
216825,570,179,391,0,0,0,3,0,3,11,4,7,9,4,5,0,0,0,520,166,354,20,3,17,2,0,2,5,2,3,0,1,1,0,,0,0,1,1,569
216852,1798,582,1216,5,1,4,58,20,38,245,56,189,107,20,87,0,0,0,1171,419,752,50,14,36,117,26,91,45,26,19,0,,0,0,,0,0,,0,1798
216931,1346,483,863,5,3,2,27,11,16,64,22,42,57,20,37,0,0,0,1085,376,709,29,14,15,42,11,31,37,26,11,0,,0,0,,0,0,,0,1346
216940,65,65,0,0,0,0,0,0,0,6,6,0,3,3,0,0,0,0,55,55,0,1,1,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,65
217013,309,64,245,1,1,0,1,0,1,14,5,9,13,2,11,1,0,1,259,50,209,5,2,3,14,3,11,1,1,0,0,,0,0,,0,0,,0,309
217040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,1
217059,961,382,579,1,0,1,25,6,19,31,16,15,55,27,28,0,0,0,785,310,475,32,9,23,24,9,15,8,5,3,0,,0,0,,0,0,,0,961
217077,330,103,227,1,0,1,13,8,5,36,11,25,45,14,31,0,0,0,212,63,149,12,5,7,11,2,9,0,0,0,0,,0,0,,0,0,,0,330
217156,2941,1412,1529,6,2,4,438,206,232,199,71,128,281,130,151,4,1,3,1110,561,549,151,59,92,122,60,62,630,322,308,0,,0,0,,0,0,,0,2941
217165,1050,619,431,4,2,2,45,19,26,29,19,10,60,30,30,2,1,1,817,493,324,20,12,8,21,14,7,52,29,23,0,0,0,0,0,0,0,0,0,1050
217235,1486,529,957,6,2,4,55,15,40,177,51,126,198,52,146,0,0,0,833,316,517,36,8,28,82,35,47,99,50,49,1,,1,3,,3,4,,4,1482
217305,835,496,339,4,2,2,11,5,6,35,18,17,70,49,21,1,1,0,486,282,204,28,13,15,193,121,72,7,5,2,0,,0,0,,0,0,,0,835
217323,688,651,37,3,3,0,11,10,1,167,162,5,278,266,12,1,1,0,196,178,18,10,9,1,22,22,0,0,0,0,0,,0,0,,0,0,,0,688
217402,1250,550,700,0,0,0,20,8,12,41,17,24,112,39,73,4,1,3,970,440,530,33,14,19,51,20,31,19,11,8,0,,0,0,,0,0,,0,1250
217420,1502,395,1107,2,1,1,39,13,26,134,25,109,297,85,212,0,0,0,891,240,651,30,5,25,106,26,80,3,0,3,3,,3,0,,0,3,,3,1499
