UNITID,AWLEVELC,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSASIAT,CSBKAAT,CSHISPT,CSNHPIT,CSWHITT,CS2MORT,CSUNKNT,CSNRALT,CSUND18,CS18_24,CS25_39,CSABV40,CSUNKN
106795,2,203,74,129,4,1,13,75,0,102,8,0,0,4,156,35,8,0
106883,2,167,51,116,0,2,74,4,0,86,0,0,1,0,88,57,22,0
106908,2,163,13,150,2,1,44,11,0,99,2,4,0,0,131,30,2,0
106980,2,261,64,197,4,7,20,26,0,196,1,2,5,1,138,91,31,0
106999,2,153,41,112,1,1,6,9,0,117,14,0,5,0,100,41,12,0
107099,2,21,0,21,1,1,2,0,0,16,1,0,0,0,15,6,0,0
107220,2,53,5,48,3,4,1,10,0,35,0,0,0,0,32,18,3,0
107293,2,10,0,10,1,0,1,3,0,5,0,0,0,0,6,4,0,0
107318,2,129,60,69,1,1,57,4,0,64,0,0,2,0,86,38,5,0
107327,2,130,52,78,0,2,39,13,0,75,1,0,0,31,72,21,6,0
107442,2,10,6,4,0,0,9,0,0,1,0,0,0,0,2,8,0,0
107460,2,144,46,98,1,3,4,7,0,119,8,1,1,0,88,41,15,0
107488,2,124,76,48,1,3,6,37,1,73,2,1,0,0,68,38,16,2
107521,2,137,31,106,0,2,41,9,0,81,4,0,0,1,45,68,23,0
107549,2,199,44,155,3,1,3,5,0,187,0,0,0,0,109,64,26,0
107585,2,378,158,220,0,4,19,38,0,292,19,0,6,4,257,106,11,0
107619,2,105,26,79,1,1,48,1,0,54,0,0,0,1,67,26,11,0
107637,2,113,47,66,0,4,50,22,0,36,1,0,0,0,45,52,16,0
107655,2,16,0,16,0,0,9,0,0,7,0,0,0,0,10,6,0,0
107664,2,492,170,322,0,6,200,17,0,235,12,15,7,0,201,193,98,0
107725,2,192,71,121,1,1,44,22,0,121,2,1,0,12,114,52,14,0
107743,2,155,69,86,2,0,1,3,1,129,2,3,14,0,127,24,4,0
107789,2,63,1,62,2,0,0,9,0,52,0,0,0,0,52,10,1,0
107831,2,15,0,15,0,0,0,0,0,15,0,0,0,0,11,3,1,0
107974,2,270,68,202,0,0,82,20,0,156,7,3,2,2,129,102,37,0
107992,2,140,82,58,0,1,38,8,0,81,12,0,0,0,89,39,12,0
108065,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0
108092,2,78,48,30,0,5,2,15,0,48,8,0,0,11,43,14,10,0
108667,2,256,113,143,0,107,27,58,2,39,11,6,6,8,147,86,15,0
108807,2,1011,329,682,0,38,14,710,1,200,26,21,1,1,700,270,40,0
108852,2,9,2,7,0,0,0,1,0,0,2,0,6,0,6,3,0,0
108977,2,46,10,36,0,0,3,32,0,11,0,0,0,0,24,21,1,0
109040,2,713,112,601,1,66,83,496,7,35,25,0,0,1,293,351,68,0
109208,2,803,319,484,4,128,47,193,9,345,52,18,7,1,414,305,83,0
109350,2,829,291,538,1,27,85,489,2,165,42,15,3,14,501,227,87,0
109721,2,134,36,98,0,2,48,38,0,32,7,7,0,0,20,65,49,0
