UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
150288,79,4402700,0,0,0,0,6,359710,13,1260229,6,426359,5,315244,5,241529,0,0,15,566845,8,294286,18,777651,3,160847,0,0
150400,346,21094186,0,0,0,0,16,1006549,47,6224883,58,3220063,29,1708583,72,3879923,6,286529,60,2326582,0,0,45,1934469,13,506605,0,0
150455,187,10939536,0,0,0,0,17,875240,32,3835415,26,1401717,10,509220,48,2231344,3,175840,10,393036,1,41250,39,1423474,0,0,1,53000
150534,260,12770323,0,0,0,0,38,1559876,38,3945457,10,529791,11,548951,69,3320590,8,308431,21,603914,0,0,56,1636192,9,317121,0,0
150604,153,7941891,0,0,0,0,27,1282375,21,2218722,10,676943,11,581142,24,1112689,4,169910,20,589846,0,0,26,926691,10,383573,0,0
150668,142,6417746,0,0,0,0,14,619031,39,2450060,5,169400,13,664887,21,848949,0,0,23,728499,5,188395,17,549175,5,199350,0,0
150677,118,5771857,0,0,4,172800,53,2358814,6,781015,12,562459,5,301795,28,1237769,0,0,3,117310,0,0,7,239895,0,0,0,0
150756,161,8950943,0,0,0,0,39,1886917,18,2311327,11,633020,6,340039,38,1829958,6,339036,14,480215,0,0,20,765086,9,365345,0,0
150774,52,2899618,0,0,0,0,6,274883,18,1403877,9,440825,2,93148,12,503011,0,0,3,111000,0,0,2,72874,0,0,0,0
150941,96,5292662,0,0,0,0,10,548469,19,1708553,3,166758,6,339769,17,952145,0,0,4,183491,10,438027,27,955450,0,0,0,0
150987,2042,118205803,0,0,0,0,79,4036266,376,38305786,327,18109235,144,8966082,534,25999935,0,0,148,5942677,0,0,434,16845822,0,0,0,0
151102,564,30484129,0,0,24,1558907,21,1128135,105,9983084,90,4668967,47,2538455,71,3518593,7,295933,65,2004912,0,0,110,3830510,18,711006,6,245627
151111,2819,164321395,74,4201809,0,0,111,7014341,134,21196995,309,21708523,420,29263047,423,25167772,27,1433266,390,13879623,0,0,791,33754973,128,6277121,12,423925
151263,385,22400837,0,0,0,0,33,1617644,86,8365494,20,1127773,25,1727281,62,3352889,7,261801,65,2376540,1,29467,78,3191574,7,319174,1,31200
