UNITID,SNHCAT,OCCUPCAT,FACSTAT,SGTYPE,HRTOTLT,HRTOTLM,HRTOTLW,HRAIANT,HRAIANM,HRAIANW,HRASIAT,HRASIAM,HRASIAW,HRBKAAT,HRBKAAM,HRBKAAW,HRHISPT,HRHISPM,HRHISPW,HRNHPIT,HRNHPIM,HRNHPIW,HRWHITT,HRWHITM,HRWHITW,HR2MORT,HR2MORM,HR2MORW,HRUNKNT,HRUNKNM,HRUNKNW,HRNRALT,HRNRALM,HRNRALW
207069,37000,370,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
207157,37000,370,0,-2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
207209,37000,370,0,-2,13,2,11,0,0,0,0,0,0,11,2,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
207236,37000,370,0,-2,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
207254,37000,370,0,-2,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
207263,37000,370,0,-2,28,6,22,5,1,4,0,0,0,0,0,0,1,0,1,0,0,0,16,4,12,6,1,5,0,0,0,0,0,0
207281,37000,370,0,-2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
207290,37000,370,0,-2,8,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
207306,37000,370,0,-2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
207315,37000,370,0,-2,56,4,52,3,0,3,2,0,2,4,1,3,8,0,8,0,0,0,36,3,33,2,0,2,0,0,0,1,0,1
207324,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
207342,37000,370,0,-2,65,6,59,2,0,2,3,0,3,10,0,10,12,3,9,0,0,0,33,2,31,5,1,4,0,0,0,0,0,0
207351,37000,370,0,-2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
207388,37000,370,0,-2,168,42,126,7,1,6,5,0,5,3,2,1,12,4,8,1,0,1,127,32,95,10,1,9,1,1,0,2,1,1
207397,37000,370,0,-2,10,3,7,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0
207403,37000,370,0,-2,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,3,1,2,0,0,0
207449,37000,370,0,-2,8,3,5,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0
207458,37000,370,0,-2,23,5,18,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,19,5,14,0,0,0,0,0,0,0,0,0
207500,37000,370,0,-2,123,32,91,6,2,4,2,0,2,8,3,5,9,2,7,1,0,1,89,22,67,6,3,3,0,0,0,2,0,2
207564,37000,370,0,-2,13,5,8,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,8,3,5,2,0,2,0,0,0,0,0,0
207582,37000,370,0,-2,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
207661,37000,370,0,-2,7,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,1,1,0,0,0
207670,37000,370,0,-2,5,2,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
207722,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
207740,37000,370,0,-2,9,1,8,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,5,1,4,1,0,1,0,0,0,0,0,0
207847,37000,370,0,-2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
207865,37000,370,0,-2,16,2,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,1,14,0,0,0,0,0,0,0,0,0
207935,37000,370,0,-2,27,11,16,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,17,5,12,6,4,2,0,0,0,0,0,0
207962,37000,370,0,-2,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
207971,37000,370,0,-2,30,11,19,4,1,3,1,0,1,1,1,0,3,2,1,0,0,0,20,6,14,0,0,0,1,1,0,0,0,0
208035,37000,370,0,-2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
208318,37000,370,0,-2,14,3,11,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,12,2,10,0,0,0,0,0,0,0,0,0
208390,37000,370,0,-2,20,3,17,0,0,0,1,0,1,1,0,1,8,2,6,0,0,0,7,1,6,1,0,1,1,0,1,1,0,1
208415,37000,370,0,-2,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,0,0,0,0,0,0,0,0,0
208479,37000,370,0,-2,5,0,5,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
208512,37000,370,0,-2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0
208646,37000,370,0,-2,9,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,1,0,1,0,0,0,0,0,0
208822,37000,370,0,-2,16,3,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,2,13,0,0,0,0,0,0,0,0,0
209038,37000,370,0,-2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
209056,37000,370,0,-2,8,0,8,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5,0,5,1,0,1,0,0,0,0,0,0
209065,37000,370,0,-2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0
209074,37000,370,0,-2,5,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
209250,37000,370,0,-2,7,2,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,3,0,0,0,1,0,1,0,0,0
209287,37000,370,0,-2,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0
209296,37000,370,0,-2,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
209409,37000,370,0,-2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
209490,37000,370,0,-2,204,39,165,2,2,0,16,3,13,16,4,12,30,5,25,3,1,2,109,16,93,13,3,10,12,4,8,3,1,2
209506,37000,370,0,-2,5,0,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
209542,37000,370,0,-2,83,23,60,0,0,0,2,1,1,2,0,2,7,1,6,0,0,0,37,11,26,3,0,3,32,10,22,0,0,0
209551,37000,370,0,-2,165,43,122,1,1,0,8,1,7,1,0,1,19,6,13,1,0,1,123,29,94,7,2,5,2,2,0,3,2,1
209612,37000,370,0,-2,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
209746,37000,370,0,-2,32,8,24,2,0,2,3,0,3,0,0,0,7,2,5,0,0,0,15,4,11,2,1,1,3,1,2,0,0,0
209807,37000,370,0,-2,19,4,15,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,11,2,9,2,2,0,1,0,1,0,0,0
209825,37000,370,0,-2,26,4,22,0,0,0,2,1,1,0,0,0,2,0,2,0,0,0,18,3,15,0,0,0,3,0,3,1,0,1
