UNITID,TUITION1,FEE1,HRCHG1,TUITION2,FEE2,HRCHG2,TUITION3,FEE3,HRCHG3,TUITION5,FEE5,HRCHG5,TUITION6,FEE6,HRCHG6,TUITION7,FEE7,HRCHG7,ISPROF1,ISPFEE1,OSPROF1,OSPFEE1,ISPROF2,ISPFEE2,OSPROF2,OSPFEE2,ISPROF3,ISPFEE3,OSPROF3,OSPFEE3,ISPROF4,ISPFEE4,OSPROF4,OSPFEE4,ISPROF5,ISPFEE5,OSPROF5,OSPFEE5,ISPROF6,ISPFEE6,OSPROF6,OSPFEE6,ISPROF7,ISPFEE7,OSPROF7,OSPFEE7,ISPROF8,ISPFEE8,OSPROF8,OSPFEE8,ISPROF9,ISPFEE9,OSPROF9,OSPFEE9,CHG1AT0,CHG1AF0,CHG1AY0,CHG1AT1,CHG1AF1,CHG1AY1,CHG1AT2,CHG1AF2,CHG1AY2,CHG1AT3,CHG1AF3,CHG1AY3,CHG1TGTD,CHG1FGTD,CHG2AT0,CHG2AF0,CHG2AY0,CHG2AT1,CHG2AF1,CHG2AY1,CHG2AT2,CHG2AF2,CHG2AY2,CHG2AT3,CHG2AF3,CHG2AY3,CHG2TGTD,CHG2FGTD,CHG3AT0,CHG3AF0,CHG3AY0,CHG3AT1,CHG3AF1,CHG3AY1,CHG3AT2,CHG3AF2,CHG3AY2,CHG3AT3,CHG3AF3,CHG3AY3,CHG3TGTD,CHG3FGTD,CHG4AY0,CHG4AY1,CHG4AY2,CHG4AY3,CHG5AY0,CHG5AY1,CHG5AY2,CHG5AY3,CHG6AY0,CHG6AY1,CHG6AY2,CHG6AY3,CHG7AY0,CHG7AY1,CHG7AY2,CHG7AY3,CHG8AY0,CHG8AY1,CHG8AY2,CHG8AY3,CHG9AY0,CHG9AY1,CHG9AY2,CHG9AY3
240727,3696,1621,154,3696,1621,154,15336,1621,639,5382,1477,299,5382,1477,299,16092,1477,894,,,,,,,,,,,,,,,,,,,,,17918,1477,37876,1477,,,,,,,,,15360,1477,32760,1477,4020,1380,5400,4170,1411,5581,4350,1441,5791,4620,1657,6277,,,4020,1380,5400,4170,1411,5581,4350,1441,5791,4620,1657,6277,,,16110,1380,17490,16740,1411,18151,18090,1441,19531,19170,1657,20827,,,1200,1200,1200,1200,10320,10437,10615,11144,3040,3040,3184,3184,10320,10437,10615,11144,3040,3040,3184,3184,1520,1520,2764,1592
240736,4500,650,150,4500,650,150,4800,650,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,650,3950,3300,650,3950,3300,650,3950,4500,650,5150,,,3300,650,3950,3300,650,3950,3300,650,3950,4500,650,5150,,,3600,650,4250,3600,650,4250,3600,650,4250,4800,650,5450,,,2600,2600,2600,2600,,,,,,,,,3000,3000,3000,3000,1000,1000,1000,1000,1500,1500,1500,1500
240745,3120,294,130,3120,294,130,4320,294,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,294,3414,3120,294,3414,3120,294,3414,3120,294,3414,,,3120,294,3414,3120,294,3414,3120,294,3414,3120,294,3414,,,4320,294,4614,4320,294,4614,4320,294,4614,4320,294,4614,,,1200,1200,1200,1200,,,,,,,,,10500,10500,10500,10500,2650,2650,2650,2650,2650,2650,2650,2650
240754,5304,806,221,5304,806,221,10608,806,442,5382,806,299,5382,806,299,10764,806,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040,764,5804,5040,764,5804,5040,806,5846,5436,806,6242,,,5040,764,5804,5040,764,5804,5040,806,5846,5436,806,6242,,,12096,764,12860,12096,764,12860,10080,806,10886,10872,806,11678,,,2050,2050,2050,2150,3850,3850,3868,3888,1800,2250,2250,2250,11169,11169,11403,11844,3272,3366,3353,3312,3272,3366,3353,3312
240790,3078,960,128,3078,960,128,4560,960,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078,960,4038,3078,960,4038,3078,960,4038,3078,960,4038,,,3078,960,4038,3078,960,4038,3078,960,4038,3078,960,4038,,,4560,960,5520,4560,960,5520,4560,960,5520,4560,960,5520,,,1600,1600,1600,1600,,,,,,,,,6000,6000,6000,6480,3000,3000,3000,3000,2600,2600,2600,2600
241100,5040,1490,210,5040,1490,210,5040,1490,210,6432,260,292,6432,260,292,6432,260,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4776,1445,6221,4920,1445,6365,5160,1590,6750,5160,1591,6751,,,4776,1445,6221,4920,1445,6365,5160,1590,6750,5160,1591,6751,,,4776,1445,6221,4920,1445,6365,5160,1590,6750,5160,1591,6751,,,1250,1240,1240,1240,,,,,,,,,5700,6470,6470,6470,6800,7016,7086,7086,9000,9716,9786,9786
241128,5160,1591,215,5160,1591,215,5160,1591,215,6432,260,292,6432,260,292,6432,260,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4776,1445,6221,4920,1445,6365,5160,1591,6751,5160,1591,6751,,,4776,1445,6221,4920,1445,6365,5160,1591,6751,5160,1591,6751,,,4776,1445,6221,4920,1445,6365,5160,1591,6751,5160,1591,6751,,,1250,1240,1240,1240,,,,,,,,,5700,6470,6470,6470,6800,7016,7086,7086,9000,9716,9786,9786
241146,5088,2280,212,5088,2280,212,5088,2280,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4752,2271,7023,4824,2282,7106,4968,2282,7250,5088,2280,7368,,,4752,2271,7023,4824,2282,7106,4968,2282,7250,5088,2280,7368,,,4752,2271,7023,4824,2282,7106,4968,2282,7250,5088,2280,7368,,,425,425,425,425,,,,,,,,,3021,3021,3021,3021,900,900,900,900,900,900,900,900
241191,6050,1200,185,6050,1200,185,6050,1200,185,2500,670,210,2500,670,210,2500,670,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5870,1200,7070,6050,1200,7250,6050,1200,7250,6050,1200,7250,,,5870,1200,7070,6050,1200,7250,6050,1200,7250,6050,1200,7250,,,5870,1200,7070,6050,1200,7250,6050,1200,7250,6050,1200,7250,,,1600,1600,1600,1600,6400,6200,6200,6200,3000,3000,3000,3000,7600,7600,7600,7600,3000,3000,3000,3000,3400,3800,3800,3800
241216,5400,1110,150,5400,1110,150,5400,1110,150,3330,1275,185,3330,1275,185,3330,1275,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720,705,7425,6800,705,7505,6795,705,7500,5400,1515,6915,,,6720,705,7425,6800,705,7505,6795,705,7500,5400,1515,6915,,,6720,705,7425,6800,705,7505,6795,705,7500,5400,1515,6915,,,1000,1000,1000,900,,,,,,,,,2001,2001,2001,2400,1000,1000,1000,3150,1000,1000,1000,3150
